index,thinking_trap,thought,patient_round1,d_round2
146,all-or-nothing thinking,I was on a coffee break and my boss reminded me of work that needs to get done. And I think I could get fired.,I was on a coffee break and my boss reminded me of work that needs to get done. And I think I could get fired.,"  I understand that you're feeling stressed and worried about your job security. However, let's try to look at the situation from a different perspective. What are some other possible outcomes of this situation? For example, could this be an opportunity for you to show your boss that you're responsible and can manage your workload effectively? Or perhaps it's a chance for you to demonstrate your skills and abilities, which could lead to positive outcomes for your career? Can you think of any other possibilities?"
147,mind reading,I was on a coffee break and my boss reminded me of work that needs to get done. And I think My boss must think I'm lazy.,I was on a coffee break and my boss reminded me of work that needs to get done. And I think my boss must think I'm lazy.,"  I understand that you're feeling stressed and worried about your boss's perception of your work ethic. However, let's consider some other possibilities. Could it be that your boss reminded you of work tasks because they trust you to handle them, or because they know you're capable of completing them? Maybe they're just being proactive in reminding you, rather than seeing it as a reflection of your work ethic. What do you think about these alternative perspectives?"
148,should statements,I was on a date and started to cough badly as the food was too hot And I think I should have ordered a milder dish,I was on a date and started to cough badly as the food was too hot. I think I should have ordered a milder dish.,"  I understand that you're feeling embarrassed and regretful about the situation. However, let's try to look at it from a different perspective. What are some other possible outcomes that could have occurred if you had ordered a milder dish? For example, could it be that your date would have understood and been more caring? Or perhaps the situation could have led to a conversation about personal preferences or dietary restrictions? Can you think of any other possibilities?"
149,labeling,I was on the phone with my boyfriend and he got a call on the other line. I assumed it was another girl calling him. And I think I am not good enough.,"I was on the phone with my boyfriend and he got a call on the other line. I couldn't help but assume that it was another girl calling him. It made me feel insecure and inadequate, like I'm not good enough for him.","  I understand that you're feeling hurt and insecure because of your boyfriend's sudden call on the other line. It's natural to wonder if he would be calling another girl, especially when you're in the middle of a conversation. However, let's try to brainstorm other possible explanations for his behavior. Could there be any other reasons why he answered the call, that don't necessarily involve him being interested in someone else?"
150,personalizing,"I was passed over for a new job with a larger company. And I think I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.","I feel really frustrated and disappointed that I was passed over for a new job with a larger company. I believe that I had the qualifications and experience necessary for the position, but they chose someone with less experience instead. It's hard not to take it personally and wonder what I did wrong or if there's something lacking in my skills. It's been constantly on my mind and it's affecting my self-confidence.","  I understand that it's natural to question your abilities and feel uncertain about your future after experiencing disappointment. However, let's try to brainstorm other possible explanations for the situation. Could there be other reasons why the company chose the person they did? Maybe they were looking for specific skills or qualities that you don't possess yet, or perhaps they wanted someone with more experience in a certain area. It's also possible that the decision was based on factors unrelated to your abilities or qualifications. Can you think of any other possibilities that could explain the situation?"
151,personalizing,"I was passed over for a small promotion at my place of work. The person who got the promotion was younger and less experienced than me, but a favorite of the boss. And I think I was angry because I was the better person for the job.","I am feeling really frustrated and upset right now. I recently found out that I was passed over for a promotion at work. It's hard for me to understand why because the person who got the promotion is younger and has less experience than me. It feels unfair that the boss played favorites instead of considering my qualifications for the job. I can't help but feel angry because deep down, I believe I am the better fit for the position.","  I understand that you're feeling disheartened and questioning your abilities after not getting the promotion. It's natural to feel this way, especially when you believe you're more qualified than the person who got the position. However, let's try to brainstorm other possible explanations for the situation. Could there be other reasons why the boss chose the person they did? Maybe they have skills or qualities that are more suited for the position, or perhaps there were other factors at play that you're not aware of. Can you think of any other possibilities that might have contributed to the decision?"
152,"personalizing,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,blaming",I was planning a bachelor party for a friend and some of the people invited were not satisfied with what I was trying to plan. And I think Why can't they cooperate on this?,"I was planning a bachelor party for a friend, and it's been really frustrating because some of the people I invited don't seem happy with what I have planned. It's making me wonder, why can't they just cooperate and go along with it?","  I understand that you're feeling disheartened and questioning your ability to organize a successful party. However, let's try to look at it from a different perspective. What are some other possible reasons why some of the guests might not be responding positively to the plans? Could it be that they have different expectations or preferences? Or perhaps they are dealing with personal issues that are making it hard for them to cooperate? Let's brainstorm some other possible explanations."
153,all-or-nothing thinking,I was reprimanded at work for standing up to a coworker who was bullying another co-worker. And I think It was unfair that I was the one to get in trouble for defending a weaker person.,I was reprimanded at work for standing up to a coworker who was bullying another co-worker. And I think it was unfair that I was the one to get in trouble for defending a weaker person.,"  I understand that you feel upset and frustrated about the situation at work. However, let's try to look at it from a different perspective. What are some other possible explanations or outcomes that could have resulted from your actions? For example, could it be possible that your actions were seen as a display of leadership or a commitment to maintaining a respectful work environment? Or perhaps, your superiors appreciated your willingness to stand up for a colleague who was being bullied? Can you think of any other possible outcomes or interpretations of the situation?"
154,"mind reading,labeling,negative feeling or emotion,all-or-nothing thinking,personalizing",I was talking to a friend who got me angry. And I think He's insulting me.,I was talking to a friend earlier and something he said really got me angry. It felt like he was intentionally trying to insult me.,"  I understand that you're feeling hurt and angry, and it's natural to feel this way when someone's words are perceived as insulting. However, let's try to consider other possibilities. Could there be any other reasons why your friend might have said what they did? Maybe they were joking, trying to be funny, or expressing their honest opinion in a blunt way? It's also possible that their words were not intended to be insulting, but instead, they were misunderstood. What do you think about these possibilities?"
155,personalizing,I was talking to my husband about something that happened to me that day.  He kept interrupting and talking over me.  I got up and left the room. And I think My husband was being a jerk and not listening to me.,I was talking to my husband about something that happened to me that day. He kept interrupting and talking over me. I got up and left the room. And I think my husband was being a jerk and not listening to me.,"  I understand that you feel disrespected and unheard, which is a valid feeling. However, let's try to consider other possibilities. Could there be other reasons why your husband might have been interrupting and talking over you? Maybe he was anxious or preoccupied with something else going on? Or perhaps he didn't realize he was being disruptive? What do you think about these possibilities?"
156,"overgeneralizing,personalizing,blaming",I was talking with my boyfriend on my lunch break and he started to clean his computer with canned air which made a very loud noise. And I think Does he not care what I am saying?,"I was talking with my boyfriend on my lunch break and he started to clean his computer with canned air which made a very loud noise. And I think, does he not care what I am saying?","  I understand that you're feeling frustrated and believe that your boyfriend's actions are a reflection of his lack of interest in your conversation. However, let's consider other possible explanations for his behavior. Could it be possible that he was simply being distracted by something on his computer, or perhaps he was not aware of the noise he was making? Maybe he was not intentionally ignoring you, but was caught up in his own thoughts or task. What do you think about these possibilities?"
157,emotional reasoning,I was told that I don't look as attractive as I used to by my significant other. She told me that she does not like the way that I have been dressing lately and that I should go back to my old style of dressing. I can recall feeling embarrassed and let down with myself. I felt very tiny and as though my relationship was falling apart because she was starting to become very superficial. And I think What am I doing to deserve this?,I am really hurt and upset by what my significant other said to me. It made me feel completely unattractive and like I am not good enough for her. I feel embarrassed and disappointed in myself. It feels like our relationship is falling apart because she's focusing on superficial things. I can't help but wonder what I did wrong to deserve this.,"  I understand that you're feeling hurt and questioning your worth based on your partner's words. It's natural to feel this way, especially when it comes to relationships. However, let's try to brainstorm other possible possibilities under the same situation. Is it possible that there could be other reasons why your partner reacted that way? Could it be that they were having a bad day, or maybe they were expressing their own insecurities or fears? Could there be other explanations for their behavior that don't necessarily reflect on your worth or the state of your relationship?"
158,"labeling,all-or-nothing thinking,negative feeling or emotion",I was unable to visit my Mother in the hospital in another state. And I think I am the worst daughter in the world.,I feel really guilty and like a horrible daughter because I was unable to visit my mother in the hospital in another state.,"  I understand that you're feeling guilty and worried about your mother's health, which is completely natural given the situation. However, let's try to brainstorm other possible possibilities under the same situation. Is there any other way you can think of that you could still show your support and care for your mother without physically being there at the hospital? Maybe there are other ways to communicate with her, or ways to help her during this time that don't necessarily involve being there in person. Can you think of any other possibilities?"
159,"catastrophizing,overgeneralizing,negative feeling or emotion",I was up for a promotion at work and did not receive it. And I think I will be stuck in middle-management for the remainder of my career.,"I feel quite disappointed and frustrated because I recently applied for a promotion at work, but unfortunately, I didn't get it. It seems like no matter how much effort I put in, I'll never move past middle-management. It's disheartening to think that my career might be stagnant from now on.","  I understand that you're feeling disheartened and questioning your abilities after not getting the promotion. However, let's try to brainstorm other possible possibilities under the same situation. Is it possible that there are other opportunities for growth and advancement within the company that you haven't explored yet? Or perhaps there are other roles outside the company that could utilize your skills and abilities? Let's think about these possibilities and see if there are any alternative paths that could lead to growth and fulfillment."
160,catastrophizing,"I was walking in a poorly lit downtown area when a man approached me and asked for money. I told him I had none, and he started cussing me out and following me. I eventually started running and he finally stopped following. And I think He is going to hurt me","I was walking in a poorly lit downtown area when a man approached me and asked for money. I told him I had none, and he started cussing me out and following me. I eventually started running and he finally stopped following. And I think he is going to hurt me. I feel scared and anxious about the whole situation. I don't feel safe anymore when I'm out alone.","  I understand that this experience has left you feeling shaken and fearful for your safety. It's natural to feel this way after such an unsettling encounter. However, let's try to brainstorm other possible possibilities under the same situation. What are some alternative thoughts or scenarios that could explain the man's behavior?"
161,"negative feeling or emotion,blaming",I was with friends and misinterpreted a comment and was upset for the wrong reasons. Turns out I misheard what was said and made a big deal out of nothing. And I think Why are my friends treating me so harshly?,"I was with my friends earlier today and something happened that really bothered me. I overheard a comment and immediately assumed it was about me. I got really upset and started questioning why my friends would say something like that behind my back. But now I realize that I may have misheard what was actually said, and I feel foolish for making such a big deal out of it. It's confusing and frustrating, and I can't help but wonder why my friends seem to be treating me so harshly.","  I understand that you're feeling hurt and confused, and it's natural to question your friends' behavior. However, let's try to explore other possibilities. Could there be any other reasons why your friends might have made the comment that you overheard? Maybe they were joking around, or perhaps they were discussing something unrelated to you. It's also possible that they didn't intend to hurt your feelings, but their tone came out that way due to their own emotions or stress. What do you think about these possibilities?"
162,labeling,I wave to an acquaintance and get no response. And I think I don't make a memorable impression on people.,I wave to an acquaintance and get no response. It makes me feel really self-conscious and insecure. I start to think that I must not make a memorable impression on people.,"  I understand that you're feeling hurt and questioning your worth because of the lack of response from your acquaintance. However, let's try to brainstorm other possible explanations for their behavior. Could it be possible that they were preoccupied, distracted, or simply not noticed your wave? Or perhaps they have a different way of responding or communicating? It's also possible that they value their own time and don't feel the need to respond immediately. What do you think about these possibilities?"
163,should statements,I went on a trip and heard a commercial for a kitchen appliance And I think I feel so anxious maybe I left something turned on in the kitchen,"I went on a trip and heard a commercial for a kitchen appliance. I can't help but feel extremely anxious now, thinking that maybe I accidentally left something turned on in the kitchen. It's really bothering me and I can't seem to shake off this feeling of anxiety.","  I understand that you're feeling anxious about the possibility of leaving something turned on in your kitchen. Let's try to brainstorm other possible explanations for this situation. Can you think of any other reasons why you might be feeling this way, aside from the possibility of leaving something on? For example, could it be possible that you're feeling anxious because you're tired or stressed about something else?"
164,negative feeling or emotion,I worried about being late and I almost crashed the car And I think I worry too much,"I've been feeling really anxious lately, especially when it comes to being on time for things. Just the other day, I was running late and it caused me to become so stressed that I almost got into a car accident. It's starting to feel like my worrying is getting out of control.","  I understand that you're feeling overwhelmed with the fear of being late and the potential consequences. Let's try to brainstorm other possible possibilities under the same situation. Instead of focusing on the fear of being late and the potential accidents, what are some other thoughts or scenarios that could occur when you're running late? Let's explore different perspectives."
165,fortune telling,I yelled at my child for being too fidgety during stories at bedtime. And I think The kids will never settle down.,I yelled at my child for being too fidgety during stories at bedtime. I feel guilty and worried that my kids will never be able to settle down.,  I understand that you're feeling guilty and worried about your children's ability to settle down due to their fidgeting during bedtime stories. Let's try to brainstorm other possible possibilities under the same situation. Is it possible that there could be other reasons for their fidgeting that are unrelated to their ability to settle down? Could it be that they are naturally energetic or have a hard time sitting still due to their age or a medical condition? Could there be other ways to engage them during this time that might help them settle down?
166,"all-or-nothing thinking,catastrophizing,blaming",I yelled at my sister for not doing something correctly And I think There will never be enough time to get everything done,"I yelled at my sister for not doing something correctly. I feel bad about it now and I'm not sure how to handle the situation better next time. Also, I constantly feel overwhelmed because I believe there will never be enough time to get everything done. It's creating a lot of stress and affecting my well-being.","  I understand that you're feeling overwhelmed and stressed due to your perception of time constraints and your reaction to your sister's actions. Let's try to brainstorm other possible possibilities under the same situation.

For instance, could there be other ways to handle the situation with your sister? Maybe there's a way to communicate your expectations more clearly or to provide more detailed instructions? Or perhaps it's about setting realistic expectations and understanding that everyone has their own pace and way of doing things?

Regarding your perception of time, could there be ways to manage your time more effectively? Maybe you could prioritize tasks, delegate some tasks, or adjust your schedule to fit your work style?

Let's explore these possibilities and see if we can find alternative solutions that can help you manage your stress and improve your well-being."
167,emotional reasoning,I'm afraid of pregnancy and I think i'm not mentally or emotionally prepared And I think I can't be a mother,I'm feeling really scared about the idea of getting pregnant. I don't think I'm mentally or emotionally prepared to become a mother.,"I understand that you're feeling overwhelmed and uncertain about your ability to cope with the responsibilities of motherhood. It's completely normal to feel this way, especially given the significant changes that pregnancy and parenthood can bring. However, let's try to brainstorm some other possible perspectives on this situation."
168,labeling,"I'm facing an issue, that I love you girlfriend and she loves me back. But I hurt her because I'm manipulative, without really realizing what I'm doing. I make her feel guilty of things that she shouldn't feel so, and if I don't get things my way, I manipulate it so it sounds like it's her fault or she is wrong. I don't do it voluntarily, but I do it too often and it hurts her and me. And I think I am manipulative","I've been having this issue where I realize that I am manipulative towards my girlfriend. I love her and she loves me back, but I often find myself making her feel guilty for things that she shouldn't feel guilty about. I manipulate situations so that it seems like it's her fault or that she is wrong. I don't do it intentionally, but it happens more often than I'd like and it hurts both of us. I think I am manipulative, and I want to change that about myself.","I understand that you're recognizing the issue and that's a great step forward. Now, let's try to brainstorm other possible possibilities under the same situation. Can you think of any other reasons why you might be feeling the need to manipulate situations and make your girlfriend feel guilty? Is it possible that there are other underlying emotions or thoughts that are driving this behavior?"
169,comparing and despairing,I'm failing school And I think I'm worthless,I'm feeling really down because I feel like I'm failing at school. It's making me feel so worthless and like I'm not good enough. I don't know what to do.,"I understand that you're feeling overwhelmed and disheartened by your academic performance, and it's natural to feel this way when facing challenges. However, let's try to brainstorm other possible perspectives or possibilities under the same situation. For instance, could there be other factors contributing to your academic struggles that are beyond your control or outside of your ability to influence? Or could there be other ways to measure success or worth that don't solely rely on academic performance? What are some other possibilities that you can think of?"
170,negative feeling or emotion,I'm feeling suicidal And I think I can't stop cutting myself,"I'm feeling really overwhelmed and hopeless. I've been having thoughts of suicide and it's been extremely difficult to cope. In addition, I have been resorting to self-harm by cutting myself. I feel like I can't control these urges anymore.","I understand that you're feeling overwhelmed and that these thoughts of suicide and self-harm are consuming your thoughts and actions. It's important to remember that these feelings are not your reality, but rather a coping mechanism that you've developed to deal with the emotional pain you're experiencing. Let's try to brainstorm other possible possibilities under the same situation."
171,labeling,"I'm hanging out with a friend chit chatting, but realizing he's not putting much effort, like usual, into having good conversation.  He just repeats the same thing ad nauseam. And I think He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.","I've been hanging out with a friend recently and I've noticed that he doesn't seem to put much effort into our conversations. It's like he just keeps repeating the same things over and over again. It's becoming really boring, and it's starting to make me question whether I want to continue being friends with him or not.","I understand how you're feeling. Now, let's try to think of other possible explanations for his behavior. Could it be possible that he's going through something personally or dealing with a stressful situation that's affecting his ability to engage in deep conversations? Or maybe he's just naturally more of a simple person who prefers to stick to familiar topics? What do you think about these possibilities?"
172,overgeneralizing,I'm late for the meeting And I think I never do anything right,"I'm feeling incredibly overwhelmed right now. I was just late for an important meeting, and it seems like no matter what I do, I can never seem to get anything right. It's frustrating and disheartening.","I understand that you're feeling overwhelmed and disheartened due to the recent events. However, let's try to look at it from a different perspective. What are some other possible explanations or outcomes that could result from the same situation? For example, could this experience be an opportunity for growth or a chance to learn and improve?"
173,labeling,I'm late for the meeting And I think This shows what a jerk I am,"I'm late for the meeting, and I think this shows what a jerk I am. I feel guilty and embarrassed about it.","I understand that you're feeling embarrassed and guilty about being late for the meeting, and those feelings are causing you to believe that you're a jerk. However, let's try to brainstorm other possible explanations for the situation. Could there be any other reasons why you're late that don't necessarily reflect on your character? For example, could it be possible that there was unexpected traffic, a miscommunication about the time, or perhaps you were preoccupied with something else going on?"
174,all-or-nothing thinking,I'm waiting everyday for the weekend and the holidays. I'm not getting anything productive done. And I think I can't bring myself to be motivated.,"I'm feeling really frustrated because lately, I find myself constantly waiting for the weekends or holidays. I feel like I'm not being productive and I just can't seem to find the motivation to do anything.","I understand that you're feeling disconnected from your work and feel like you're not contributing as much as you could. Let's try to brainstorm other possible perspectives on this situation. Instead of viewing it as a lack of motivation, could there be other factors at play? For example, could it be that you're feeling overworked or perhaps the work isn't as fulfilling as you thought it would be? Or could it be that you're not utilizing your strengths and passions enough in your work? Let's explore these possibilities together."
175,"labeling,all-or-nothing thinking",I've been a massive bummer in my personal life and am making people feel bad And I think I'm worthless,I've been feeling like a massive bummer in my personal life lately. I've noticed that I'm making people feel bad and it's making me question my worth. I can't help but think that maybe I'm just a worthless person.,"I understand that you're feeling overwhelmed and it's affecting your relationships and self-perception. However, let's try to brainstorm other possible explanations for the situation. Could it be possible that your perception of being a ""massive bummer"" is subjective and others may not necessarily feel the same way? Or perhaps there are other factors at play that are causing them to react in certain ways? Let's explore other possibilities."
176,catastrophizing,I've been applying for jobs and just got a call that someone else filled a position I applied for. And I think I might never get hired.,I've been applying for jobs and just got a call that someone else filled a position I applied for. And I think I might never get hired.,"I understand that you're feeling disheartened and it's natural to feel this way after a disappointment. However, let's try to look at it from a different perspective. Could there be other reasons why the position was filled by someone else? Maybe the person who got the position had more experience or better references? Or perhaps the position was offered to someone who was available at the time? What do you think about these possibilities?"
177,catastrophizing,I've been sitting at my desk for a long time and I haven't been able to get anything done. And I think I will lose my job eventually.,I've been sitting at my desk for a long time and I haven't been able to get anything done. And I think I will lose my job eventually. I feel overwhelmed and stressed out. I'm worried about what will happen if I can't meet deadlines or perform my job properly.,"I understand that you're feeling overwhelmed and stressed about your current situation. It's important to remember that everyone goes through periods of productivity and unproductivity, and it doesn't necessarily reflect on their abilities or performance. Can you think of any other possible explanations for your current lack of productivity? For example, could it be due to fatigue, a lack of focus, or perhaps a need for more resources or support?"
178,comparing and despairing,I've been sitting at my desk for a long time and I haven't been able to get anything done. And I think Other people are probably doing it better than me.,I've been sitting at my desk for a long time and I haven't been able to get anything done. And I think other people are probably doing it better than me. It's frustrating and makes me doubt my abilities. I feel stuck and unable to make any progress.,"I understand how you're feeling. Now, let's try to think of other possible explanations for your situation. Could it be that you're perhaps not giving yourself enough time to focus, or maybe you're not organizing your time effectively? Or perhaps, you're comparing your beginning to someone else's middle? What do you think about these possibilities?"
179,"overgeneralizing,personalizing",I've mentioned being sad and no one seems to think its anything serious And I think No one cares about me,I've been feeling really down lately and it seems like no one really understands or takes my sadness seriously. It's as if they don't really care about me and what I'm going through. This feeling of being unnoticed and unimportant is really weighing me down.,"I understand that you're feeling overlooked and undervalued, which can be a very tough place to be. However, let's try to brainstorm some other possible explanations for the situation. Could it be possible that others are dealing with their own issues and struggling to cope, and therefore they're not able to fully understand or respond to your feelings? Or perhaps they're not aware of the depth of your sadness and how it's impacting you? Maybe they're trying to help but don't know how? What do you think about these possibilities?"
180,labeling,In class I feel like others hear my thoughts and judge me. When some things really don't work(for example I have some things for school for tommorow and I can't find how to do that thing after searching hours on internet I get angry and sometimes results to self harm(punching). I sometimes feel like everybody is here just to watch me and see how I react to things(sounds insane). And I think Am I insane?,"I've been having these persistent thoughts lately that make me feel really self-conscious and paranoid. I constantly feel like people around me can hear my thoughts and are judging me based on them. It's particularly overwhelming in class when I'm surrounded by others. Additionally, when I struggle with something, like not being able to figure out how to do a certain task for school, I get extremely frustrated and it sometimes leads to self-harming behavior like punching objects. It's a scary situation because I start to question my own sanity and wonder if I'm going insane.","I understand that these thoughts are causing you significant distress and impacting your daily life. Let's try to brainstorm other possible possibilities under the same situation. For example, instead of assuming that others can hear your thoughts and judge you, what are some other possible explanations for their reactions? Or, instead of assuming that struggling with a task means you're incompetent, what are some alternative perspectives that could help you reframe this situation? Let's explore some alternative thoughts and possibilities together."
181,negative feeling or emotion,It's so hard to study effectively and it takes all the time and energy I have. And then I still don't feel prepared. And I think I'm so behind and i'm so afraid of the terrible grades I will recieve. I can't do anything right,"I'm finding it really difficult to study effectively. It feels like studying takes up all of my time and energy, and even then, I still don't feel prepared. I constantly feel like I'm falling behind and I'm terrified of getting terrible grades. It's making me feel like I can't do anything right.","I understand that you're feeling overwhelmed and it's affecting your performance. Let's try to look at it from a different perspective. What if studying effectively is not the only way to succeed? Or, what if the grades you receive aren't the ultimate measure of your abilities? Can you think of any other possibilities or ways to measure success that don't rely solely on grades?"
182,emotional reasoning,I闂佺偨鍎查悰?a drug addict And I think I feel like I will never be loved in a romantic way because I am not very pretty,I'm a drug addict and I have been feeling like I will never be loved in a romantic way because I don't feel pretty enough.,"I understand that you're feeling discouraged and believe that your drug addiction and appearance are major barriers to finding love. However, let's consider other possibilities. Could it be that your addiction is a coping mechanism for deeper emotional pain, and addressing this may help you find love and self-acceptance? Or perhaps, your perception of your appearance is influenced by your addiction and the negative thoughts it brings. What if you considered the possibility that your worth and loveability are not defined by your looks, but by your character, actions, and the love you bring to others? Can you think of any other ways to view this situation?"
183,catastrophizing,Last week I found out that my mother had experienced sudden back pain that lasted for a few days  and I somehow worked myself into a very concerned state where I kind of felt like she was going to become completely incapacitated and have to live in a nursing home. And I think I'm afraid she's going to die soon.,I have been feeling really worried and anxious lately because last week my mother experienced sudden back pain that lasted for a few days. It really scared me and now I can't stop thinking that she's going to become completely incapacitated and have to live in a nursing home. The fear of losing her is really overwhelming me.,"I understand that you're worried about your mother's health and it's natural to fear the worst-case scenario. However, let's try to brainstorm other possible possibilities under the same situation. While it's true that your mother experienced sudden back pain, it doesn't necessarily mean that she will become incapacitated or need to live in a nursing home. Can you think of any other potential outcomes or scenarios that could occur given her situation?"
184,"disqualifying the positive,negative feeling or emotion,magnification",Last week I made a special dinner at my house for my family to enjoy but I overcooked the food. And I think after 30 years since I first started learning how to cook I am still ruining meals.,"Last week, I made a special dinner for my family, but unfortunately, I overcooked the food. It's really frustrating because even after 30 years of cooking experience, it seems like I still can't get it right.","I understand how you're feeling, and it's completely normal to feel disappointed and question your abilities after such an experience. However, let's try to look at it from a different perspective. What are some other possibilities that could explain what happened? For example, could it be that the recipe was more complex than you thought? Or maybe the oven temperature was off? Or perhaps it was just an off night? Try to think of other reasons that could have contributed to the outcome."
185,"labeling,negative feeling or emotion,all-or-nothing thinking,overgeneralizing",Last week I talked to a girl at a bar but was rejected by her And I think I am undesirable,"Last week, I mustered up the courage to approach a girl at a bar and strike up a conversation. However, things didn't go as I had hoped, and she ended up rejecting me. It's been bothering me, and I can't help but feel undesirable because of it.","I understand that it's hard not to feel discouraged after such an experience. However, let's try to look at it from a different perspective. Could there be other reasons why she may have rejected you? Maybe she was having an off day, or perhaps she wasn't in the right frame of mind for a conversation. It's also possible that she appreciated your courage in approaching her but wasn't feeling the same level of attraction. What do you think about these possibilities?"
186,"mind reading,personalizing,overgeneralizing","Last week my sister and I facetime. I didnt show much interest. Later that day, my cousin told me that my sister was sad because of my behavior. And I think I made my sister sad","Last week, I had a video call with my sister, but I didn't show much interest during our conversation. Later, my cousin told me that my sister was feeling sad because of my behavior. I can't help but feel guilty and think that I may have caused my sister's sadness.","I understand that you're feeling guilty and worrying about your relationship with your sister. However, let's consider other possible explanations for her reaction. It's possible that your sister's sadness was due to something else unrelated to the video call. Maybe she was having a bad day or dealing with something else. Can you think of any other reasons why she might have been sad that don't involve your behavior during the call?"
187,"comparing and despairing,personalizing","Last week, my co-worker was invited to participate in a workshop and I was not. And I think My co-worker is better than me.","Last week, my co-worker was invited to participate in a workshop and I was not. And I think my co-worker is better than me. I can't help but feel jealous and inadequate in comparison. It's making me doubt my abilities and questioning my worth in my profession. I'm not sure how to deal with these emotions.","I understand that you're feeling left out and it's leading to feelings of inadequacy and self-doubt. However, let's try to brainstorm other possible possibilities under the same situation. Is it possible that your co-worker was chosen for the workshop based on their specific skills or areas of expertise that align with the workshop's focus? Or perhaps there are other opportunities for growth and development that you haven't explored yet? Let's try to think of other potential explanations for your co-worker's participation."
188,emotional reasoning,Lost best friend murdered this time of year in 2017. And I think My parents are judging me,"I've been feeling really overwhelmed lately because of a tragic event that happened in 2017. My best friend was murdered around this time of year, and it still haunts me. Additionally, I've been feeling like my parents are constantly judging me, which is causing a lot of distress.","I understand that these two events are causing you a lot of pain and it's natural to feel overwhelmed. However, let's try to brainstorm other possible possibilities under the same situation. For instance, instead of viewing your parents' judgement as criticism, could there be another way to interpret their actions? Maybe they're expressing their concern for your well-being or trying to help you cope with the loss of your friend. What are some other ways you could view this situation?"
189,fortune telling,"Meeting an old friend, that I hadn't seen in 21 years for lunch. And I think what if i have nothing to say, what if we don't click anymore, what if this goes badly.","I'm feeling quite anxious about meeting an old friend for lunch after not seeing them for 21 years. I can't help but worry about what if we have nothing to say, what if we don't click anymore, or what if this goes badly. It's causing me a lot of stress and apprehension.",I understand that these thoughts are causing you a lot of distress. Let's try to brainstorm some other possible possibilities under the same situation. What are some alternative thoughts or scenarios that could happen during your lunch with your old friend?
190,catastrophizing,My Dentist told me I'd need a root canal procedure. And I think I'm going to have to endure some physical and financial pain.,"I just went to the dentist, and they told me I need a root canal procedure. I'm feeling really overwhelmed and anxious about it because I know it's going to involve physical pain and potentially be quite expensive.","I understand that these thoughts are causing you distress. Let's try to brainstorm other possible possibilities under the same situation. What are some alternative thoughts or perspectives that you could consider about this situation? For example, could there be any potential benefits or positive aspects of having a root canal procedure?"
191,emotional reasoning,My boss interrupted my break to tell me to work And I think I feel guilty,"I feel really frustrated and upset because my boss interrupted my break to tell me to work. I was looking forward to having a break and taking some time for myself, but now I feel guilty for not immediately jumping into work mode.",I understand that you're feeling guilty for not immediately jumping into work mode after your boss interrupted your break. Let's try to brainstorm other possible possibilities under the same situation. Is it possible that your boss may have understood that you needed a break and allowed you to have that time to rest and recharge? Or perhaps your boss may have seen the value in you taking a break and coming back refreshed and more productive? Can you think of any other possible interpretations or outcomes?
192,negative feeling or emotion,My boss on the construction site was very mean and aggressive with me. And I think I must not have been doing a good job,I feel really stressed and upset about how my boss treated me on the construction site. It was very difficult for me to deal with their mean and aggressive behavior. I can't help but think that maybe I wasn't performing well enough and that's why they treated me like that.,"I understand that you're feeling hurt and questioning your abilities after your boss's behavior on the construction site. However, let's try to brainstorm other possible explanations for their behavior. Could there be other reasons why your boss reacted in that way that don't involve your performance? Maybe there were other factors at play that you're not aware of. Can you think of any other possibilities?"
193,all-or-nothing thinking,My boss pointed out an unintentional error in my work And I think This work is a failure,"I recently made an unintentional error in my work, and my boss pointed it out to me. I can't help but feel like this work is a failure now.","I understand that you're feeling discouraged and fearful about your abilities after making an unintentional error at work. However, let's try to brainstorm other possible possibilities under the same situation. Instead of viewing this as a failure, what are some alternative perspectives or thoughts that you could consider? For example, could this be an opportunity for growth and learning, or a chance to improve your skills and prevent similar errors in the future?"
194,"all-or-nothing thinking,labeling",My boss pointed out an unintentional error in my work. And I think I am incapable of doing anything right.,I feel really frustrated and demoralized because my boss pointed out an unintentional error in my work. It makes me think that I am incapable of doing anything right.,"I understand that you're feeling discouraged and questioning your abilities after your boss pointed out an error in your work. However, let's try to brainstorm other possible explanations for this situation. Could there be any other reasons why your boss pointed out the error, aside from the assumption that you're incapable? Maybe there was a lack of clarity in the instructions, or perhaps there was a simple mistake in the process that can be easily corrected. What do you think?"
