index,thinking_trap,thought,patient_round1,d_round3
168,labeling,"I'm facing an issue, that I love you girlfriend and she loves me back. But I hurt her because I'm manipulative, without really realizing what I'm doing. I make her feel guilty of things that she shouldn't feel so, and if I don't get things my way, I manipulate it so it sounds like it's her fault or she is wrong. I don't do it voluntarily, but I do it too often and it hurts her and me. And I think I am manipulative","I've been having this issue where I realize that I am manipulative towards my girlfriend. I love her and she loves me back, but I often find myself making her feel guilty for things that she shouldn't feel guilty about. I manipulate situations so that it seems like it's her fault or that she is wrong. I don't do it intentionally, but it happens more often than I'd like and it hurts both of us. I think I am manipulative, and I want to change that about myself.","  That's a great step forward in understanding your behavior and identifying potential areas for change. It's clear that you care deeply about your relationship and are committed to making positive changes. Remember, it's okay to seek help and explore these deeper issues. It's a sign of strength, not weakness. Your willingness to understand your own behavior and make changes is a big step towards building a healthier, more open relationship. Keep in mind that communication is key, and being open about your feelings and thoughts can help to alleviate misunderstandings and guilt. You're on the right path, keep going!"
169,comparing and despairing,I'm failing school And I think I'm worthless,I'm feeling really down because I feel like I'm failing at school. It's making me feel so worthless and like I'm not good enough. I don't know what to do.,"  That's a great perspective! It's wonderful to see you recognizing that academic challenges are normal and that there are many ways to improve your performance. Remember, everyone struggles, and it's important not to let one aspect of life define your self-worth. You have many other strengths and abilities that contribute to your overall value. Keep reminding yourself of this, and don't hesitate to seek help when you need it. You're more resilient than you think."
170,negative feeling or emotion,I'm feeling suicidal And I think I can't stop cutting myself,"I'm feeling really overwhelmed and hopeless. I've been having thoughts of suicide and it's been extremely difficult to cope. In addition, I have been resorting to self-harm by cutting myself. I feel like I can't control these urges anymore.","  I'm really glad to hear you're open to exploring these alternative coping mechanisms. It's a big step to consider these options and it shows your strength and willingness to seek help. Remember, it's okay to feel overwhelmed and it's important to reach out for support. These feelings are temporary and there are many resources available to help you manage them. It's not easy, but with time and effort, I believe you can find ways to cope with these feelings and improve your overall wellbeing. Keep reminding yourself that you're not alone in this struggle and there's always hope for a better tomorrow."
171,labeling,"I'm hanging out with a friend chit chatting, but realizing he's not putting much effort, like usual, into having good conversation.  He just repeats the same thing ad nauseam. And I think He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.","I've been hanging out with a friend recently and I've noticed that he doesn't seem to put much effort into our conversations. It's like he just keeps repeating the same things over and over again. It's becoming really boring, and it's starting to make me question whether I want to continue being friends with him or not.","  That's a great way of reframing the situation! It's clear that you're a thoughtful and empathetic friend, and you're considering all these different possibilities. Remember, everyone has different strengths and ways of expressing themselves. It's possible that your friend's repetition is a sign of his own comfort and trust in your friendship. It's also great that you're considering the other aspects of your friendship that you value. Before making any decisions, having an open conversation about how you're feeling could be beneficial. This way, you can both understand each other's perspectives and potentially find a way to maintain your friendship in a way that works for both of you."
172,overgeneralizing,I'm late for the meeting And I think I never do anything right,"I'm feeling incredibly overwhelmed right now. I was just late for an important meeting, and it seems like no matter what I do, I can never seem to get anything right. It's frustrating and disheartening.","  That's a great perspective! You're absolutely right. Being late for one event doesn't negate all your previous accomplishments or your overall potential. It's important to remember that everyone makes mistakes, and it's how we learn from them that matters. It's great that you've been able to recognize this and try to reframe your thoughts. Keep reminding yourself of your past successes and the positive feedback you've received. This will help you not to let one setback define your self-worth or performance. You're more than one event."
173,labeling,I'm late for the meeting And I think This shows what a jerk I am,"I'm late for the meeting, and I think this shows what a jerk I am. I feel guilty and embarrassed about it.","  That's a great perspective! You've recognized that being late was a one-time occurrence and not a reflection of your overall character. It's important to remember that everyone can improve and it's great that you're already thinking about how to avoid such incidents in the future. It's not easy to change habits, but remember, it's not a reflection of your worth or character. Keep reminding yourself of this reframing thought whenever you start to feel guilty or self-critical. You're doing great!"
174,all-or-nothing thinking,I'm waiting everyday for the weekend and the holidays. I'm not getting anything productive done. And I think I can't bring myself to be motivated.,"I'm feeling really frustrated because lately, I find myself constantly waiting for the weekends or holidays. I feel like I'm not being productive and I just can't seem to find the motivation to do anything.","  That's a great thought process! You've identified some valuable insights about finding fulfillment in your work, managing stress, and reframing your approach to productivity. Remember, it's perfectly okay to take breaks and enjoy the weekends. It's all about balance. You're not less productive because you take time to rest and recharge. It's also great that you're open to exploring new hobbies and seeking support from others. These adjustments could indeed provide a surge of energy and motivation. Keep in mind, it's not about being productive all the time, but about being productive in a way that works best for you. You're on the right path, keep going!"
175,"labeling,all-or-nothing thinking",I've been a massive bummer in my personal life and am making people feel bad And I think I'm worthless,I've been feeling like a massive bummer in my personal life lately. I've noticed that I'm making people feel bad and it's making me question my worth. I can't help but think that maybe I'm just a worthless person.,"  That's a great insight! It's clear that you're aware of the challenges you're facing and are actively seeking help. Remember, everyone has their own struggles and it's important to be gentle with yourself during these times. It's great that you're recognizing your own positive qualities and contributions. It's okay to seek help, it's a sign of strength. This visit to the psychologist is a positive step towards improving your situation and recognizing your worth. Keep reminding yourself that you're not alone in this and that there are people who care about you and want to support you. You're more resilient than you think."
176,catastrophizing,I've been applying for jobs and just got a call that someone else filled a position I applied for. And I think I might never get hired.,I've been applying for jobs and just got a call that someone else filled a position I applied for. And I think I might never get hired.,"  That's a great perspective! It's really encouraging to see you recognize this experience as an opportunity for growth and learning. Remember, every interview and application process is a chance to improve and showcase your skills. It's not a reflection of your worth or your potential for success. Keep applying, keep improving, and believe in yourself. The right opportunity will come along. You're on the right path."
177,catastrophizing,I've been sitting at my desk for a long time and I haven't been able to get anything done. And I think I will lose my job eventually.,I've been sitting at my desk for a long time and I haven't been able to get anything done. And I think I will lose my job eventually. I feel overwhelmed and stressed out. I'm worried about what will happen if I can't meet deadlines or perform my job properly.,"  That's a great perspective you've taken! It's very insightful of you to recognize that your struggles could be due to a variety of factors like stress, anxiety, burnout, or lack of motivation, which are all common and temporary. Your idea of taking regular breaks, implementing time management techniques, focusing on single tasks, and seeking feedback from your superiors are all excellent strategies. Remember, everyone goes through periods of struggle, and it's important to not let these feelings of insecurity and fear overshadow your actual performance. Seeking professional help is also a great step towards improving your mental wellbeing and overall job performance. Keep in mind that it's okay to seek help, it's a sign of strength, not weakness. You're not alone in this, and there are many resources available to support you through this challenging time."
178,comparing and despairing,I've been sitting at my desk for a long time and I haven't been able to get anything done. And I think Other people are probably doing it better than me.,I've been sitting at my desk for a long time and I haven't been able to get anything done. And I think other people are probably doing it better than me. It's frustrating and makes me doubt my abilities. I feel stuck and unable to make any progress.,"  That's a great reflection! It's clear that you're beginning to see different possibilities and perspectives. Remember, everyone has their own unique work style and struggles. It's important to focus on your own growth and learning, rather than comparing yourself to others. Taking regular breaks, adjusting your work approach, or exploring new areas could be beneficial. It's okay to struggle, it's part of the process. Keep reminding yourself that every experience is an opportunity to learn and grow. You're more resilient than you think."
179,"overgeneralizing,personalizing",I've mentioned being sad and no one seems to think its anything serious And I think No one cares about me,I've been feeling really down lately and it seems like no one really understands or takes my sadness seriously. It's as if they don't really care about me and what I'm going through. This feeling of being unnoticed and unimportant is really weighing me down.,"  That's a great insight! It's wonderful to see you considering different possibilities. Remember, everyone experiences emotions differently, and it's quite possible that those around you are noticing your resilience and potential to overcome your feelings. Your subtle expressions might be unnoticeable to some, but they're certainly not unnoticed by you. It's great that you're seeking professional help, which shows your proactive approach towards your mental health. Keep reminding yourself that your feelings are valid and it's okay to seek help. You're stronger than you think."
180,labeling,In class I feel like others hear my thoughts and judge me. When some things really don't work(for example I have some things for school for tommorow and I can't find how to do that thing after searching hours on internet I get angry and sometimes results to self harm(punching). I sometimes feel like everybody is here just to watch me and see how I react to things(sounds insane). And I think Am I insane?,"I've been having these persistent thoughts lately that make me feel really self-conscious and paranoid. I constantly feel like people around me can hear my thoughts and are judging me based on them. It's particularly overwhelming in class when I'm surrounded by others. Additionally, when I struggle with something, like not being able to figure out how to do a certain task for school, I get extremely frustrated and it sometimes leads to self-harming behavior like punching objects. It's a scary situation because I start to question my own sanity and wonder if I'm going insane.","  I'm really glad to see you're opening up to consider these other possibilities. It's clear that you're under a lot of pressure and stress, which can sometimes make us feel like we're being judged or scrutinized. Remember, everyone experiences these feelings to some degree, and it's okay to seek help. It's great that you're recognizing that your emotions might be heightened due to the academic pressure you're under. It's important to remember that everyone struggles, and it's okay to seek help. It's not a sign of weakness, but rather a sign of strength to reach out for support. Instead of resorting to self-harm, consider seeking out healthier coping mechanisms like talking to a trusted friend, family member, or a mental health professional. Remember, you're not alone in this."
181,negative feeling or emotion,It's so hard to study effectively and it takes all the time and energy I have. And then I still don't feel prepared. And I think I'm so behind and i'm so afraid of the terrible grades I will recieve. I can't do anything right,"I'm finding it really difficult to study effectively. It feels like studying takes up all of my time and energy, and even then, I still don't feel prepared. I constantly feel like I'm falling behind and I'm terrified of getting terrible grades. It's making me feel like I can't do anything right.","  That's a wonderful perspective! You've thought of some great strategies to make studying more manageable and enjoyable. Remember, it's perfectly normal to have fears and doubts, but they shouldn't paralyze us. You're making an effort, and that's what matters the most. It's great that you're focusing on the learning process and not just the grades. Keep reminding yourself that improvement is a part of the journey, and it's okay to not be perfect. You're doing your best, and that's what counts. Keep going, you're on the right path!"
182,emotional reasoning,I闁炽儲鐛?a drug addict And I think I feel like I will never be loved in a romantic way because I am not very pretty,I'm a drug addict and I have been feeling like I will never be loved in a romantic way because I don't feel pretty enough.,"  That's a wonderful realization! You've recognized that your worth and potential for love are not defined by your physical appearance or struggles with addiction, but by your character, resilience, and your desire to seek help. It's important to focus on self-love and recovery first, as this will not only improve your own life but also increase your chances of attracting healthier relationships in the future. Remember, everyone has their own unique struggles, and it's these qualities that truly make us lovable. Keep reminding yourself of this and striving towards your personal growth. You are more than your struggles, and you deserve to be loved for who you are."
183,catastrophizing,Last week I found out that my mother had experienced sudden back pain that lasted for a few days  and I somehow worked myself into a very concerned state where I kind of felt like she was going to become completely incapacitated and have to live in a nursing home. And I think I'm afraid she's going to die soon.,I have been feeling really worried and anxious lately because last week my mother experienced sudden back pain that lasted for a few days. It really scared me and now I can't stop thinking that she's going to become completely incapacitated and have to live in a nursing home. The fear of losing her is really overwhelming me.,"  That's a great perspective! You've thoughtfully considered different possibilities and acknowledged that many things can happen in life, including her health fluctuations, which are normal for aging. It's wonderful that you're aware of the potential for her pain to be managed or even just a one-time occurrence. It's also insightful that you recognize the importance of maintaining a positive relationship with your mother in the present. Remember, it's okay to have these fears, but it's equally important not to let them control your life. By focusing on the positive interactions and planning responsibly, you're taking a healthier approach to this situation. Keep reminding yourself of these thoughts whenever the fear creeps in."
184,"disqualifying the positive,negative feeling or emotion,magnification",Last week I made a special dinner at my house for my family to enjoy but I overcooked the food. And I think after 30 years since I first started learning how to cook I am still ruining meals.,"Last week, I made a special dinner for my family, but unfortunately, I overcooked the food. It's really frustrating because even after 30 years of cooking experience, it seems like I still can't get it right.","  That's a great perspective! You've recognized that cooking, like many other skills, involves variables and even the best can make mistakes. It's clear that you've improved over the years and that your family appreciates your efforts. Remember, one mistake doesn't define your skills or your worth. Keep trying, experimenting, and paying attention to the process. You're more resilient than you think."
185,"labeling,negative feeling or emotion,all-or-nothing thinking,overgeneralizing",Last week I talked to a girl at a bar but was rejected by her And I think I am undesirable,"Last week, I mustered up the courage to approach a girl at a bar and strike up a conversation. However, things didn't go as I had hoped, and she ended up rejecting me. It's been bothering me, and I can't help but feel undesirable because of it.","  That's a great perspective! You've thoughtfully considered many other reasons why she may not have been interested in engaging in a conversation with you. It's important to remember that rejection is a normal part of life and doesn't define your worth or attractiveness. Everyone experiences rejection, and it doesn't make you any less deserving of a fulfilling relationship. Your self-esteem and personal accomplishments are what truly define your attractiveness. Keep reminding yourself of these positive qualities and continue to work on building your self-esteem. Remember, it's not about waiting for someone to validate your worth, but about recognizing your own self-worth."
186,"mind reading,personalizing,overgeneralizing","Last week my sister and I facetime. I didnt show much interest. Later that day, my cousin told me that my sister was sad because of my behavior. And I think I made my sister sad","Last week, I had a video call with my sister, but I didn't show much interest during our conversation. Later, my cousin told me that my sister was feeling sad because of my behavior. I can't help but feel guilty and think that I may have caused my sister's sadness.","  That's a great reflection! You've thought of several other possibilities that could have contributed to your sister's feelings. It's important to remember that our actions can have unintended effects, and it's possible that your sister may have been experiencing her own emotions and not necessarily reacting to your behavior. It's great that you're open to communicating with her directly to clear any misunderstandings. Remember, we all have days when we're not at our best, and it's okay to acknowledge that. Keep reminding yourself that you're not responsible for your sister's emotions, but you are responsible for how you treat her. Keep up with this open-minded approach, it's a great step towards healthier relationships."
187,"comparing and despairing,personalizing","Last week, my co-worker was invited to participate in a workshop and I was not. And I think My co-worker is better than me.","Last week, my co-worker was invited to participate in a workshop and I was not. And I think my co-worker is better than me. I can't help but feel jealous and inadequate in comparison. It's making me doubt my abilities and questioning my worth in my profession. I'm not sure how to deal with these emotions.","  That's a great perspective! You've thought of several plausible reasons why your co-worker was invited to the workshop and not you. It's important to remember that opportunities are often tailored to specific areas of interest or skill sets, and not a direct measure of overall ability. It's also great to see you considering your own professional growth and interest in similar activities. Remember, every experience is an opportunity to learn and grow. Keep focusing on your own path and interests, and you'll naturally be more likely to be considered for opportunities that align with your skills. Keep up the good work!"
188,emotional reasoning,Lost best friend murdered this time of year in 2017. And I think My parents are judging me,"I've been feeling really overwhelmed lately because of a tragic event that happened in 2017. My best friend was murdered around this time of year, and it still haunts me. Additionally, I've been feeling like my parents are constantly judging me, which is causing a lot of distress.","  That's a great insight! It's clear that you're beginning to see different perspectives of your situation, which is a significant step towards healing. Remember, it's okay to seek help and open communication can clear many misunderstandings. It's not your fault that your friend passed away and it's normal to grieve. Your parents' concern might be coming from a place of love, but it's also possible they're struggling with their own emotions. It's important to remember that everyone grieves differently and there's no right or wrong way to do it. Keep reminding yourself that you're doing the best you can, and that's enough."
189,fortune telling,"Meeting an old friend, that I hadn't seen in 21 years for lunch. And I think what if i have nothing to say, what if we don't click anymore, what if this goes badly.","I'm feeling quite anxious about meeting an old friend for lunch after not seeing them for 21 years. I can't help but worry about what if we have nothing to say, what if we don't click anymore, or what if this goes badly. It's causing me a lot of stress and apprehension.","  That's a wonderful way to reframe your thoughts! You've recognized the potential for reconnecting, celebrating growth, and supporting each other in new ways. It's great that you're open to the possibility of shared interests and the potential for a wonderful nostalgic experience. Remember, it's normal to have some anxieties before meeting someone after a long time, but try to focus on these positive possibilities. This meeting could indeed be a wonderful opportunity to revive your friendship. Let's embrace this chance with an open mind and heart."
190,catastrophizing,My Dentist told me I'd need a root canal procedure. And I think I'm going to have to endure some physical and financial pain.,"I just went to the dentist, and they told me I need a root canal procedure. I'm feeling really overwhelmed and anxious about it because I know it's going to involve physical pain and potentially be quite expensive.","  That's a great way of reframing your thoughts! You've thought of several practical alternatives that can help alleviate your anxiety and financial concerns. Remember, it's okay to seek a second opinion and explore all options before making a decision. It's your health and your money, and you have the right to make informed choices. It's also important to remember that while the procedure may be necessary, there are ways to manage the discomfort and cost. You're stronger than you think, and you're taking great steps towards handling this situation. Keep reminding yourself of that."
191,emotional reasoning,My boss interrupted my break to tell me to work And I think I feel guilty,"I feel really frustrated and upset because my boss interrupted my break to tell me to work. I was looking forward to having a break and taking some time for myself, but now I feel guilty for not immediately jumping into work mode.","  That's a great reflection! You've thought through several possible scenarios, showing your ability to see the situation from different angles. It's important to remember that everyone needs breaks, including you. It's okay to communicate your needs and boundaries to your boss. This could help prevent similar incidents in the future. Remember, it's not your fault if your boss doesn't respect your break time. You're doing well, and it's crucial to take care of your well-being."
192,negative feeling or emotion,My boss on the construction site was very mean and aggressive with me. And I think I must not have been doing a good job,I feel really stressed and upset about how my boss treated me on the construction site. It was very difficult for me to deal with their mean and aggressive behavior. I can't help but think that maybe I wasn't performing well enough and that's why they treated me like that.,"  That's a great way of reframing the situation! It's clear that you've thought through several possible explanations for your boss's behavior, and they all point to factors other than your performance. It's important to remember that people's moods and behaviors can be influenced by a wide range of factors, many of which are unrelated to our own actions. It's great that you've been praised by other colleagues for your work, which suggests that your skills are good. It's also worth considering that your boss's behavior could be a reflection of his own stressors or ineffective communication skills. Keep in mind that you're not defined by your boss's behavior, and you have the ability to manage your own emotions and reactions to the situation."
193,all-or-nothing thinking,My boss pointed out an unintentional error in my work And I think This work is a failure,"I recently made an unintentional error in my work, and my boss pointed it out to me. I can't help but feel like this work is a failure now.","  That's a great way of reframing the situation! It's clear that you're open to learning and growing, which is a key aspect of professional development. Remember, everyone makes mistakes, it's how we learn from them that matters. Your boss's feedback is an opportunity for you to improve and show your skills. It's important to remember that one mistake doesn't define your overall work or your potential. Keep up with this positive mindset, and remember that every experience, good or bad, can contribute to your growth."
194,"all-or-nothing thinking,labeling",My boss pointed out an unintentional error in my work. And I think I am incapable of doing anything right.,I feel really frustrated and demoralized because my boss pointed out an unintentional error in my work. It makes me think that I am incapable of doing anything right.,"  That's a great perspective! You've thoughtfully considered other possible interpretations of your boss's feedback. It's clear that you are competent and dedicated to your work, and this one incident doesn't negate that. Feedback, even constructive criticism, is an opportunity to learn and grow. It's great that you're able to see this. Remember, everyone makes mistakes, and it's through these experiences that we gain wisdom and improve. Keep up your good work and remember that your value and competence are not defined by one isolated incident."
195,negative feeling or emotion,My boss yelled at me And I think I'm feeling sad,My boss yelled at me today and I can't help but feel really sad about it. It's been bothering me since it happened and I don't know how to shake off this feeling.,"  That's a great perspective! It's really insightful of you to consider these other possibilities. Remember, everyone has bad days, including your boss. It's important not to let one incident define your self-worth or your capabilities. Instead, use this as an opportunity to grow and improve your communication. It's great that you're considering confronting him about it, as this could potentially clear up any misunderstandings and improve your working relationship. Keep in mind that you're not alone in this, and there are many resources available to help you navigate these situations. Keep up with this positive and constructive thinking!"
196,negative feeling or emotion,My boyfriend and I were supposed to go out last night and I got very aggravated at the change of plans and that he pushed back the time. And I think he didn't respect our initial commitment,I was really frustrated and upset last night when my boyfriend told me that he had to change our plans and push back the time we were supposed to go out. It made me feel like he didn't value or respect our initial commitment.,"  That's a great perspective! It's really important to remember that everyone has emergencies and unexpected circumstances that can arise, and it's possible that your boyfriend had a valid reason for changing the plans. It's great that you're open to considering his perspective and communicating your feelings. Remember, effective communication is key in any relationship. It's okay to express your feelings and concerns, it's a sign of a healthy relationship. Keep an open mind and try to understand his side of the story as well."
197,fortune telling,"My boyfriend didn't reply back to me instantly. And I think If I text my boyfriend too much, he will get bored of me.","I've been feeling a bit anxious lately because my boyfriend didn't respond to my text right away. It makes me worry that if I reach out to him too often, he might get bored of me.","  That's a great insight! It's very possible that your boyfriend is just as busy as you are and his delay in replying is due to his own circumstances. It's also wonderful that you've thought of discussing communication expectations. Remember, communication is a two-way street and setting clear expectations can help alleviate anxiety and misunderstandings. It's great that you're open to these different possibilities. Keep reminding yourself that everyone has their own pace of life and it's okay to communicate at different times."
198,"all-or-nothing thinking,labeling",My boyfriend made fun of me for losing a game. I got upset and we had an argument. And I think I'm really bad at everything I do.,I'm feeling really down right now. My boyfriend made fun of me for losing a game and it turned into a big argument. It just makes me feel like I'm not good at anything.,"  That's a great perspective! It's really insightful of you to recognize that your boyfriend's actions were likely more about his own mood than a reflection of your abilities. It's also wonderful that you're open to exploring other reasons for your feelings and viewing this as an opportunity to improve communication in your relationship. Remember, one incident doesn't define you or your abilities. You've done well in many areas of your life, and it's important to hold onto those positive experiences. Keep reminding yourself of this whenever you start to feel down on yourself."
199,none,My boyfriend told me that I shouldn't clean the bathroom and to go and deal with the kids. And I think He doesn't think that I'm capable of watching the kids and cleaning the kitchen at the same time.,I've been feeling really overwhelmed lately because my boyfriend made a comment about me not being capable of handling household chores and taking care of our kids at the same time. It makes me feel like he doesn't have confidence in my abilities.,"  That's a great way of reframing the situation! It's clear that you've thought through several different possibilities for your boyfriend's actions. Remember, people often act based on their own concerns and intentions, not always on how they might be perceived by others. It's wonderful that you've been able to see this from different angles. It's important to communicate openly with your partner about how his words made you feel, so that he can understand your perspective and you can work together to find solutions that work for both of you. Keep up the good work!"
200,mind reading,My boyfriend went to visit his son and wound up spending the entire day with his son and his son's mother while ignoring my phone calls. And I think I thought he was cheating on me,I am feeling hurt and insecure because my boyfriend spent the whole day with his son and his son's mother without letting me know or answering my phone calls. I can't help but wonder if he is cheating on me.,"  That's a great way of reframing the situation! It's wonderful that you're able to see other possible explanations for your boyfriend's actions. It's important to remember that everyone has their own responsibilities and commitments, especially when it comes to their children. It's great that you're considering having an open conversation about how his actions affected you. This could be a valuable opportunity to strengthen your communication and deepen your understanding of each other's needs. Remember, communication is key in any relationship. Keep reminding yourself that it's okay to express your feelings and seek clarity."
201,negative feeling or emotion,"My brother and I have been really getting into a lot of fights. This past weekend he blew up again because he thought I was talking over him, but he does it all the time to me. I was upset because of his temper tantrums again, it has been happening too much over the past few or more years. He is supposed to act like an adult now and he isn't. I can't really talk to him anymore because I fear that he will explode, although he does t anyways. And I think I am so angry that he is such a hypocrite. He doesn't realize he is guilty of the same things he explodes about.","I've been having a lot of conflicts with my brother lately and it's really starting to take a toll on me. The most recent incident was when he got angry at me for supposedly talking over him, but the thing is, he does the same thing to me all the time. It's frustrating because these outbursts have been happening more frequently in the past few years and he's not acting like a responsible adult. I find it really difficult to communicate with him because I'm constantly on edge, fearing that he will explode again. My anger towards him has been building up because I feel like he's such a hypocrite. It seems like he doesn't even realize that he's guilty of the same things he gets so angry about.","  That's a great insight! It's clear that you're beginning to see the situation from a different perspective. It's very empathetic of you to consider that your brother might be struggling with his own issues and that his behavior could be a call for help. It's also insightful to recognize that your own emotions and reactions can contribute to the situation. I encourage you to continue exploring these new ways of viewing the situation. Remember, it's okay to seek help and it's important to maintain a balance in your own emotions and reactions. Keep in mind that you're not alone in this and there are resources available to support you."
202,all-or-nothing thinking,My crush doesn't like me back And I think Never finding love,I've been struggling with the thought that my crush doesn't like me back and it's making me feel like I'll never find love. It's been weighing heavily on my mind and it's starting to affect my self-esteem and overall happiness.,"  That's a wonderful perspective! You've thoughtfully considered other possibilities and have realized that this situation can be a stepping stone towards personal growth and learning. It's important to remember that one rejection doesn't define your worth or future relationships. Keep working on yourself, honing your communication skills, and maintaining a positive outlook. These qualities will not only help you navigate through this situation but also attract potential partners who appreciate you for who you are. Remember, every experience, good or bad, is an opportunity to learn and grow. Keep faith in yourself and the right person will come along."
203,"negative feeling or emotion,magnification",My dad is in the next room in his hospice bed and im afraid of not doing everything right. And I think Am I doing enough,"I am really overwhelmed with the situation right now. My dad is in the next room in his hospice bed and I can't help but feel afraid that I am not doing everything right. I keep questioning myself, ""Am I doing enough?""","  That's a wonderful reflection! It's clear that you deeply care for your father and are committed to doing your best for him. It's completely natural to feel anxious and fearful in these circumstances, but remember, your presence and love for him are what matter the most. It's also important to remember that while you cannot control his health, you can control the care and environment he receives in his final days. Seeking support from hospice staff, a caregiver support group, or even talking to a therapist can provide valuable guidance and help alleviate some of your anxiety. Remember, it's okay to not have all the answers. Your love and care for your father are what truly count."
204,overgeneralizing,My daughter lied to me about a photo on her phone because she was embarrassed And I think she doesnt want to share things with me,I just found out that my daughter lied to me about a photo on her phone. It makes me feel really hurt and disappointed because I thought we had a close and open relationship. I can't help but wonder if she doesn't trust me or if there's something she doesn't want to share with me.,"  That's a great way of reframing the situation! It's clear that you're very invested in your relationship with your daughter and you're open to understanding her perspective. It's natural for her to want to protect herself and work through things at her own pace. It's also great that you're willing to reassure her that she can trust you with anything. Remember, it's okay to have these kinds of conversations and it's important to maintain open communication in your relationship. Keep reminding yourself that her actions might not be about not trusting you, but about her own personal growth and development."
205,"overgeneralizing,catastrophizing","My daughter refused to do anything I instructed her to and embarrassed me greatly before guests I was hosting. And I think If I cannot control her now, I have lost her perhaps forever","I'm feeling really overwhelmed and frustrated with my daughter right now. She completely disregarded my instructions and made a scene in front of the guests I was hosting. I can't help but feel embarrassed, and it's making me worry that I've lost control over her and our relationship might be damaged beyond repair.","  That's a great perspective! You've recognized that your daughter's actions are likely indicative of her growing independence and individuality, which is a normal part of adolescence. It's important to remember that these moments can be opportunities for growth and understanding each other better. It's okay to feel embarrassed, but remember not to let it define your relationship. Instead, use this as a stepping stone to have more open and honest conversations with your daughter. You're doing great, and I'm confident that you'll navigate through this phase successfully."
206,blaming,My daughter spilled a drink on my desk. And I think She ruined my project,I'm feeling really upset right now because my daughter accidentally spilled a drink on my desk. I can't help but think that she might have ruined the project I was working on.,"  That's a great way of reframing the situation! It's clear that you're able to see the potential for positive outcomes in this unfortunate incident. It's wonderful that you're considering using this as a learning opportunity for both you and your daughter, and also as a chance to improve your work processes. Remember, accidents happen and they can often lead to valuable insights and improvements. It's great that you're able to see this. Keep up with this positive perspective!"
207,negative feeling or emotion,My daughter's illness And I think worry about a disabled family member,"I've been struggling with a lot of anxiety and worry recently. One of my primary concerns is my daughter's illness. She has been dealing with a chronic illness for a while now, and it weighs heavily on my mind. Additionally, I find myself constantly worrying about a disabled family member and their well-being. It's become overwhelming and I'm not sure how to cope with all of these emotions.","  That's a wonderful perspective! It's clear that you deeply care about your daughter's health and well-being, as well as that of your disabled family member. Your thoughts about finding ways to positively contribute and adapting your environment show a great deal of insight and compassion. It's also great to hear you considering your own mental health and seeking support. Remember, it's okay to seek help. It's a sign of strength, not weakness. These strategies you've thought of are excellent and I encourage you to explore them further. Remember, it's not about eliminating all worry, but learning how to manage it in a healthy way. You're doing great, and I believe in your ability to navigate through this challenging time."
208,emotional reasoning,My diet is not working And I think I feel like a failure,"I've been following this diet for a while now, but it doesn't seem to be working. I've been trying so hard to stick to it, but I can't seem to lose any weight. I feel like a complete failure.","  That's a great perspective! You've thoughtfully considered other factors that could be influencing your weight loss journey, such as genetics, metabolism, or even the type of diet. It's important to remember that everyone's body responds differently to different strategies. It's not a failure, but rather a chance to explore and find what works best for you. Your focus on feeling better, gaining energy, and improving your overall health is a positive and achievable goal. Keep in mind, every small change counts, and it's okay to adjust your approach as needed. You're on the right path, keep going!"
209,fortune telling,My father was being abusive to me And I think I can't do anything right. I am a disappointment.,"I have been struggling with the belief that my father was abusive towards me, which makes me feel like I can't do anything right. It's been making me think that I am a disappointment. It's been weighing heavily on my mind and affecting my self-esteem.","  That's a great insight! You've recognized that there could be various reasons for your father's behavior, and that it doesn't define your self-worth or capabilities. It's important to remember that everyone has their own struggles and it's not your responsibility to fix your father's issues. Instead, focus on your own growth and development. You've shown resilience and potential in areas where you've been successful, even if they haven't always been acknowledged. Remember, your self-esteem is not determined by your father's opinions or actions towards you. You have the ability to seek help, learn, and grow through this experience. Keep reminding yourself of these positive thoughts and actions."
210,fortune telling,My financial situation is going out of hand And I think I'm worried about my future,"I've been feeling really stressed about my financial situation lately. It feels like things are getting out of hand, and I'm starting to worry about what this means for my future.","  That's a great perspective! You've thought of some excellent strategies for managing your finances and seeking help. Remember, it's okay to seek help when you need it. It's a sign of strength, not weakness. It's also important to remember that financial challenges can be overcome, as you've acknowledged. It's not a life sentence, but rather a temporary obstacle that can be managed with the right approach. Keep reminding yourself of these positive possibilities and opportunities. It's a healthier and more productive mindset to hold onto."
211,fortune telling,My first boyfriend and I broke up a few years ago And I think My partner will leave me if my depression doesn't go away soon.,I've been feeling really anxious lately because my first boyfriend and I broke up a few years ago. I can't help but worry that history will repeat itself and my current partner will leave me if I can't overcome my depression soon.,"  That's a wonderful reflection! You've thought through different possibilities and identified that each situation and person is unique. It's great to hear that you're taking steps towards managing your depression and improving each day. Remember, it's okay to have insecurities and fears, but remember that they don't define you or your relationship. Having open communication with your partner can be incredibly beneficial in understanding each other better. Keep focusing on these positive thoughts and actions, and remember that you are more than your depression. Keep going!"
